file,country,genus,species,fullName,fullName2,fullName3,accesionNumber,view,project
NZAC04231968_Austrotephritis_cassiniae_wing_dorsal_left.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231968,wing,B3
NZAC04231969_Austrotephritis_cassiniae_wing_dorsal_left.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231969,wing,B3
NZAC04231970_Austrotephritis_cassiniae_wing_dorsal_left.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231970,wing,B3
NZAC04231972_Austrotephritis_cassiniae_wing_ventral_rightt.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231972,wing,B3
NZAC04231981_Austrotephritis_cassiniae_wing_dorsal_right.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231981,wing,B3
NZAC04231984_Austrotephritis_cassiniae_wing_dorsal_rightt.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231984,wing,B3
NZAC04231985_Austrotephritis_cassiniae_wing_dorsal_left.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231985,wing,B3
NZAC04231987_Austrotephritis_cassiniae_wing_dorsal_right.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231987,wing,B3
NZAC04231992_Austrotephritis_cassiniae_wing_dorsal_left.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231992,wing,B3
NZAC04231993_Austrotephritis_cassiniae_wing_dorsal_left.jpg,New Zealand,Austrotephritis,cassiniae,Austrotephritis_cassiniae,Austrotephritis,Austrotephritis,NZAC04231993,wing,B3
NZAC04231975_Austrotephritis_marginata_wing_dorsal_right.jpg,New Zealand,Austrotephritis,marginata,Austrotephritis_marginata,Austrotephritis,Austrotephritis,NZAC04231975,wing,B3
NZAC04231978_Austrotephritis_marginata_wing_dorsal_left.jpg,New Zealand,Austrotephritis,marginata,Austrotephritis_marginata,Austrotephritis,Austrotephritis,NZAC04231978,wing,B3
NZAC04231979_Austrotephritis_marginata_wing_dorsal_left.jpg,New Zealand,Austrotephritis,marginata,Austrotephritis_marginata,Austrotephritis,Austrotephritis,NZAC04231979,wing,B3
NZAC04231980_Austrotephritis_marginata_wing_dorsal_right.jpg,New Zealand,Austrotephritis,marginata,Austrotephritis_marginata,Austrotephritis,Austrotephritis,NZAC04231980,wing,B3
