file,country,genus,species,fullName,accesionNumber,view,project
NZAC04253954.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253954,wing,unsortedNZAC
NZAC04253955.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253955,wing,unsortedNZAC
NZAC04253956.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253956,wing,unsortedNZAC
NZAC04253957.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253957,wing,unsortedNZAC
NZAC04253958.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253958,wing,unsortedNZAC
NZAC04253959.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253959,wing,unsortedNZAC
NZAC04253960.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253960,wing,unsortedNZAC
NZAC04253962.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253962,wing,unsortedNZAC
NZAC04253963.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253963,wing,unsortedNZAC
NZAC04253964.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253964,wing,unsortedNZAC
NZAC04253965.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253965,wing,unsortedNZAC
NZAC04253966.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253966,wing,unsortedNZAC
NZAC04253967.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253967,wing,unsortedNZAC
NZAC04253968.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253968,wing,unsortedNZAC
NZAC04253969.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253969,wing,unsortedNZAC
NZAC04253970.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253970,wing,unsortedNZAC
NZAC04253971.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253971,wing,unsortedNZAC
NZAC04253972.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253972,wing,unsortedNZAC
NZAC04253973.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253973,wing,unsortedNZAC
NZAC04253974.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253974,wing,unsortedNZAC
NZAC04253975.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253975,wing,unsortedNZAC
NZAC04253976.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253976,wing,unsortedNZAC
NZAC04253977.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253977,wing,unsortedNZAC
NZAC04253978.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253978,wing,unsortedNZAC
NZAC04253979.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253979,wing,unsortedNZAC
NZAC04253980.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253980,wing,unsortedNZAC
NZAC04253981.jpg,New Zealand,Trupanea,,Trupanea,NZAC04253981,wing,unsortedNZAC
